iter	Passed	Remaining
662	1939	985
663	1941	982
664	1942	978
665	1944	975
666	1946	971
667	1948	968
668	1950	964
669	1958	964
670	1960	961
671	1962	957
672	1964	954
673	1965	950
674	1967	947
675	1969	943
676	1970	940
677	1972	936
678	1974	933
679	1975	929
680	1977	926
681	1979	922
682	1981	919
683	1982	916
684	1984	912
685	1986	909
686	1988	905
687	1990	902
688	1992	899
689	1994	896
690	1996	892
691	1998	889
692	2000	886
693	2002	883
694	2004	879
695	2006	876
696	2008	872
697	2010	869
698	2012	866
699	2014	863
700	2016	859
701	2017	856
702	2019	853
703	2021	850
704	2023	846
705	2024	843
706	2026	840
707	2028	836
708	2030	833
709	2032	830
710	2033	826
711	2035	823
712	2037	820
713	2039	816
714	2040	813
715	2042	810
716	2044	807
717	2047	804
718	2048	800
719	2050	797
720	2052	794
721	2054	791
722	2056	787
723	2058	784
724	2061	781
725	2062	778
726	2064	775
727	2067	772
728	2069	769
729	2071	766
730	2073	762
731	2075	759
732	2077	756
733	2079	753
734	2080	750
735	2082	747
736	2084	744
737	2086	740
738	2088	737
739	2090	734
740	2092	731
741	2093	728
742	2095	724
743	2097	721
744	2099	718
745	2101	715
746	2103	712
747	2104	709
748	2106	705
749	2108	702
750	2110	699
751	2112	696
752	2114	693
753	2116	690
754	2118	687
755	2120	684
756	2121	681
757	2123	678
758	2125	674
759	2127	671
760	2129	668
761	2131	665
762	2133	662
763	2135	659
764	2136	656
765	2138	653
766	2140	650
767	2142	647
768	2144	644
769	2146	641
770	2148	638
771	2150	635
772	2151	631
773	2153	628
774	2155	625
775	2157	622
776	2159	619
777	2161	616
778	2163	613
779	2165	610
780	2166	607
781	2168	604
782	2171	601
783	2172	598
784	2174	595
785	2176	592
786	2177	589
787	2179	586
788	2181	583
789	2183	580
790	2185	577
791	2187	574
792	2188	571
793	2190	568
794	2192	565
795	2194	562
796	2196	559
797	2197	556
798	2199	553
799	2201	550
800	2202	547
801	2204	544
802	2206	541
803	2207	538
804	2209	535
805	2211	532
806	2212	529
807	2214	526
808	2216	523
809	2217	520
810	2219	517
811	2221	514
812	2222	511
813	2224	508
814	2226	505
815	2227	502
816	2229	499
817	2230	496
818	2232	493
819	2234	490
820	2235	487
821	2237	484
822	2238	481
823	2240	478
824	2242	475
825	2243	472
826	2245	469
827	2247	466
828	2248	463
829	2250	460
830	2252	458
831	2253	455
832	2255	452
833	2257	449
834	2259	446
835	2260	443
836	2262	440
837	2264	437
838	2266	434
839	2267	431
840	2269	429
841	2271	426
842	2273	423
843	2275	420
844	2277	417
845	2279	414
846	2281	412
847	2282	409
848	2284	406
849	2286	403
850	2288	400
851	2290	397
852	2291	394
853	2293	392
854	2295	389
855	2296	386
856	2298	383
857	2300	380
858	2301	377
859	2303	374
860	2305	372
861	2306	369
862	2308	366
863	2310	363
864	2311	360
865	2313	357
866	2315	355
867	2316	352
868	2318	349
869	2320	346
870	2321	343
871	2323	341
872	2325	338
873	2326	335
874	2328	332
875	2330	329
876	2332	327
877	2333	324
878	2335	321
879	2336	318
880	2338	315
881	2339	313
882	2341	310
883	2343	307
884	2344	304
885	2346	301
886	2348	299
887	2349	296
888	2351	293
889	2353	290
890	2354	288
891	2356	285
892	2358	282
893	2360	279
894	2362	277
895	2363	274
896	2365	271
897	2367	268
898	2368	266
899	2370	263
900	2372	260
901	2374	257
902	2375	255
903	2377	252
904	2379	249
905	2380	247
906	2382	244
907	2384	241
908	2385	238
909	2387	236
910	2389	233
911	2390	230
912	2392	227
913	2394	225
914	2395	222
915	2397	219
916	2399	217
917	2401	214
918	2402	211
919	2404	209
920	2406	206
921	2407	203
922	2409	201
923	2411	198
924	2413	195
925	2414	192
926	2416	190
927	2417	187
928	2419	184
929	2421	182
930	2422	179
931	2424	176
932	2426	174
933	2427	171
934	2429	168
935	2430	166
936	2432	163
937	2434	160
938	2435	158
939	2437	155
940	2438	152
941	2440	150
942	2442	147
943	2444	144
944	2445	142
945	2447	139
946	2449	137
947	2451	134
948	2452	131
949	2454	129
950	2455	126
951	2457	123
952	2459	121
953	2460	118
954	2462	116
955	2464	113
956	2465	110
957	2467	108
958	2469	105
959	2470	102
960	2472	100
961	2474	97
962	2475	95
963	2477	92
964	2479	89
965	2480	87
966	2482	84
967	2483	82
968	2485	79
969	2487	76
970	2488	74
971	2490	71
972	2493	69
973	2496	66
974	2499	64
975	2502	61
976	2506	58
977	2509	56
978	2512	53
979	2515	51
980	2518	48
981	2521	46
982	2524	43
983	2527	41
984	2531	38
985	2534	35
986	2537	33
987	2540	30
988	2543	28
989	2546	25
990	2549	23
991	2552	20
992	2555	18
993	2559	15
994	2562	12
995	2565	10
996	2568	7
997	2571	5
998	2574	2
999	2578	0
